Tracing route to 138.197.159.66 over a maximum of 30 hops

  1     2 ms     2 ms     1 ms  10.0.0.1
  2    11 ms     9 ms    13 ms  99.238.242.1
  3    11 ms    14 ms    10 ms  69.63.242.53
  4    12 ms     9 ms    13 ms  9034-cgw01.wlfdle.rmgt.net.rogers.com [69.63.249.229]
  5    13 ms    10 ms    16 ms  209.148.235.214
  6    13 ms    14 ms    13 ms  ix-ae-13-0.tcore1.tnk-toronto.as6453.net [64.86.33.5]
  7     9 ms     9 ms    14 ms  64.86.33.54
  8     *        *        *     Request timed out.
  9     *        *        *     Request timed out.
 10     *        *        *     Request timed out.
 11    12 ms    12 ms    10 ms  138.197.159.66

Trace complete.
