root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
19:11:27.193006 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3775264789:3775264897, ack 148109930, win 501, length 108
19:11:27.193112 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 108:144, ack 1, win 501, length 36
19:11:27.193173 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 144:252, ack 1, win 501, length 108
19:11:27.193213 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 252:288, ack 1, win 501, length 36
19:11:27.193383 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 288:460, ack 1, win 501, length 172
19:11:27.193443 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 460:496, ack 1, win 501, length 36
19:11:27.193503 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 496:644, ack 1, win 501, length 148
19:11:27.193559 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 644:680, ack 1, win 501, length 36
19:11:27.193624 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 680:828, ack 1, win 501, length 148
19:11:27.202240 IP 99.238.242.188.63555 > 138.197.159.66.22: Flags [.], ack 108, win 8792, length 0
19:11:27.202299 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 828:1968, ack 1, win 501, length 1140
19:11:27.202457 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 1968:2108, ack 1, win 501, length 140
19:11:27.202505 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 2108:2144, ack 1, win 501, length 36
19:11:27.202556 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 2144:2292, ack 1, win 501, length 148
19:11:27.208028 IP 99.238.242.188.63555 > 138.197.159.66.22: Flags [.], ack 828, win 8789, length 0
19:11:27.208108 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 2292:2880, ack 1, win 501, length 588
19:11:27.208267 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 2880:3020, ack 1, win 501, length 140
19:11:27.208314 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3020:3056, ack 1, win 501, length 36
19:11:27.208360 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3056:3204, ack 1, win 501, length 148
19:11:27.208396 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3204:3240, ack 1, win 501, length 36
19:11:27.208438 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3240:3388, ack 1, win 501, length 148
19:11:27.208471 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3388:3424, ack 1, win 501, length 36
19:11:27.208512 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3424:3572, ack 1, win 501, length 148
19:11:27.208544 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3572:3608, ack 1, win 501, length 36
19:11:27.208586 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3608:3756, ack 1, win 501, length 148
19:11:27.208621 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3756:3792, ack 1, win 501, length 36
19:11:27.208663 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3792:3940, ack 1, win 501, length 148
19:11:27.208696 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3940:3976, ack 1, win 501, length 36
19:11:27.208737 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 3976:4124, ack 1, win 501, length 148
19:11:27.208772 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 4124:4160, ack 1, win 501, length 36
19:11:27.208812 IP 138.197.159.66.22 > 99.238.242.188.63555: Flags [P.], seq 4160:4308, ack 1, win 501, length 148
19:11:27.214976 IP 99.238.242.188.63555 > 138.197.159.66.22: Flags [.], ack 2292, win 8794, length 0
